folder,clip_filename,game_id,game_clock,distance_ft,result,shot_type,video_time,note,release_frame,seed_frame,seed_x1,seed_y1,seed_x2,seed_y2,extra_seeds,pose_issue
catch_and_shoot,OKC_MEM_0109_3_1017_catch_and_shoot_0226.mp4,MEM_0109_3,10:17,25,未中,Catch-and-shoot,02:26,三分,54,49,367,440,460,705,"[[49, 367, 440, 460, 705], [49, 367, 440, 460, 705], [57, 411, 370, 502, 681], [57, 411, 370, 502, 681], [61, 428, 424, 524, 735], [61, 428, 424, 524, 735], [63, 436, 447, 525, 754], [63, 436, 447, 525, 754], [64, 437, 459, 552, 757], [64, 437, 459, 552, 757], [67, 348, 485, 531, 781], [67, 348, 485, 531, 781], [68, 386, 488, 527, 788], [68, 386, 488, 527, 788], [69, 409, 490, 523, 787], [69, 409, 490, 523, 787], [70, 400, 493, 502, 794], [70, 400, 493, 502, 794]]",
pull_up,OKC_MEM_0109_3_0340_pull_up_2220.mp4,MEM_0109_3,3:40,13,未中,Pull-up,22:20,,56,32,714,473,824,666,"[[32, 714, 473, 824, 666], [39, 708, 479, 836, 711], [39, 708, 479, 836, 711], [40, 709, 484, 824, 716], [40, 709, 484, 824, 716], [42, 710, 506, 812, 738], [42, 710, 506, 812, 738], [42, 710, 506, 812, 738], [42, 710, 506, 812, 738], [43, 712, 511, 828, 739], [43, 712, 511, 828, 739], [56, 787, 343, 897, 698], [56, 787, 343, 897, 698], [57, 790, 360, 902, 707], [57, 790, 360, 902, 707], [60, 797, 393, 909, 750], [60, 797, 393, 909, 750], [62, 800, 429, 917, 782], [62, 800, 429, 917, 782], [63, 806, 460, 909, 787], [63, 806, 460, 909, 787], [64, 803, 487, 897, 802], [64, 803, 487, 897, 802], [65, 799, 508, 890, 808], [65, 799, 508, 890, 808], [66, 804, 542, 885, 810], [66, 804, 542, 885, 810], [67, 798, 574, 886, 809], [67, 798, 574, 886, 809], [68, 796, 579, 892, 812], [68, 796, 579, 892, 812], [69, 790, 579, 882, 823], [69, 790, 579, 882, 823], [70, 786, 581, 878, 830], [70, 786, 581, 878, 830], [71, 778, 580, 882, 837], [71, 778, 580, 882, 837], [72, 774, 579, 879, 838], [72, 774, 579, 879, 838], [73, 769, 581, 859, 842], [73, 769, 581, 859, 842]]",
catch_and_shoot,OKC_MEM_0109_4_1028_catch_and_shoot_0249.mp4,MEM_0109_4,10:28,25,未中,Catch-and-shoot,02:49,三分,74,64,509,329,608,488,"[[64, 509, 329, 608, 488], [65, 504, 331, 601, 488], [65, 504, 331, 601, 488], [68, 487, 288, 581, 493], [68, 487, 288, 581, 493], [69, 477, 276, 576, 490], [69, 477, 276, 576, 490], [70, 473, 256, 568, 480], [70, 473, 256, 568, 480], [71, 472, 250, 563, 471], [71, 472, 250, 563, 471], [72, 435, 228, 551, 443], [72, 435, 228, 551, 443], [73, 449, 218, 545, 426], [73, 449, 218, 545, 426], [75, 405, 235, 556, 445], [75, 405, 235, 556, 445], [77, 373, 249, 519, 473], [77, 373, 249, 519, 473], [80, 409, 268, 501, 546], [80, 409, 268, 501, 546], [81, 395, 278, 503, 565], [81, 395, 278, 503, 565], [82, 386, 295, 495, 587], [82, 386, 295, 495, 587], [83, 382, 329, 484, 599], [83, 382, 329, 484, 599], [84, 368, 352, 474, 618], [84, 368, 352, 474, 618], [86, 340, 394, 456, 638], [86, 340, 394, 456, 638], [87, 320, 427, 437, 650], [87, 320, 427, 437, 650]]",yes
catch_and_shoot,OKC_MEM_0109_4_0525_catch_and_shoot_1559.mp4,MEM_0109_4,5:25,23,命中,Catch-and-shoot,15:59,Caruso助攻，三分,55,45,1339,625,1447,886,"[[45, 1339, 625, 1447, 886], [46, 1337, 627, 1439, 891], [46, 1337, 627, 1439, 891], [47, 1327, 625, 1430, 888], [47, 1327, 625, 1430, 888], [48, 1323, 601, 1425, 891], [48, 1323, 601, 1425, 891], [49, 1319, 578, 1422, 882], [49, 1319, 578, 1422, 882], [57, 1293, 472, 1400, 845], [57, 1293, 472, 1400, 845], [58, 1297, 480, 1403, 847], [58, 1297, 480, 1403, 847], [59, 1300, 476, 1407, 859], [59, 1300, 476, 1407, 859], [61, 1303, 464, 1416, 897], [61, 1303, 464, 1416, 897], [62, 1307, 512, 1423, 907], [62, 1307, 512, 1423, 907], [63, 1312, 488, 1430, 929], [63, 1312, 488, 1430, 929], [64, 1318, 532, 1433, 945], [64, 1318, 532, 1433, 945], [65, 1318, 574, 1444, 959], [65, 1318, 574, 1444, 959]]",
catch_and_shoot,OKC_MEM_0109_4_0441_catch_and_shoot_1701.mp4,MEM_0109_4,4:41,23,未中,Catch-and-shoot,17:01,三分,67,57,757,288,889,506,"[[57, 757, 288, 889, 506], [58, 764, 284, 889, 512], [58, 764, 284, 889, 512], [59, 765, 265, 887, 520], [59, 765, 265, 887, 520], [60, 762, 247, 887, 526], [60, 762, 247, 887, 526], [81, 684, 511, 829, 815], [81, 684, 511, 829, 815], [82, 651, 517, 801, 822], [82, 651, 517, 801, 822]]",
catch_and_shoot,OKC_MEM_0109_4_0226_catch_and_shoot_2608.mp4,MEM_0109_4,2:26,26,命中,Catch-and-shoot,26:08,J.Williams助攻，三分,71,61,758,622,875,867,"[[61, 758, 622, 875, 867], [62, 759, 622, 868, 868], [62, 759, 622, 868, 868], [63, 755, 618, 862, 868], [63, 755, 618, 862, 868], [64, 751, 608, 855, 869], [64, 751, 608, 855, 869], [66, 745, 567, 865, 870], [66, 745, 567, 865, 870], [66, 745, 567, 865, 870], [67, 748, 547, 846, 868], [67, 748, 547, 846, 868], [68, 747, 542, 838, 863], [68, 747, 542, 838, 863], [68, 747, 542, 838, 863], [71, 736, 503, 832, 852], [71, 736, 503, 832, 852], [72, 733, 499, 840, 853], [72, 733, 499, 840, 853], [72, 733, 499, 840, 853], [74, 723, 474, 844, 876], [74, 723, 474, 844, 876], [75, 719, 513, 831, 896], [75, 719, 513, 831, 896], [80, 691, 660, 813, 982], [80, 691, 660, 813, 982], [80, 691, 660, 813, 982], [80, 691, 660, 813, 982], [82, 676, 719, 799, 987], [82, 676, 719, 799, 987], [83, 666, 731, 799, 1080], [83, 666, 731, 799, 1080], [84, 653, 771, 791, 1076], [84, 653, 771, 791, 1076]]",yes
catch_and_shoot,OKC_POR_1105_3_0124_catch_and_shoot_1915.mp4,POR_1105_3,1:24,23,未中,Catch-and-shoot,19:15,三分,67,57,1482,708,1613,998,"[[57, 1482, 708, 1613, 998], [58, 1471, 706, 1606, 999], [58, 1471, 706, 1606, 999], [59, 1472, 700, 1604, 996], [59, 1472, 700, 1604, 996], [59, 1472, 700, 1604, 996], [60, 1469, 671, 1602, 1000], [60, 1469, 671, 1602, 1000], [61, 1477, 635, 1600, 993], [61, 1477, 635, 1600, 993], [61, 1477, 635, 1600, 993], [68, 1489, 536, 1599, 948], [68, 1489, 536, 1599, 948], [77, 1467, 621, 1622, 985], [77, 1467, 621, 1622, 985], [78, 1483, 655, 1607, 987], [78, 1483, 655, 1607, 987], [79, 1484, 662, 1606, 987], [79, 1484, 662, 1606, 987], [80, 1486, 662, 1611, 987], [80, 1486, 662, 1611, 987], [81, 1483, 665, 1597, 987], [81, 1483, 665, 1597, 987], [82, 1478, 671, 1601, 988], [82, 1478, 671, 1601, 988], [83, 1472, 672, 1605, 989], [83, 1472, 672, 1605, 989], [83, 1472, 672, 1605, 989], [89, 1432, 634, 1591, 997], [89, 1432, 634, 1591, 997], [90, 1441, 688, 1588, 998], [90, 1441, 688, 1588, 998], [91, 1418, 651, 1586, 1000], [91, 1418, 651, 1586, 1000], [92, 1402, 656, 1581, 1001], [92, 1402, 656, 1581, 1001], [92, 1402, 656, 1581, 1001], [92, 1402, 656, 1581, 1001], [93, 1384, 638, 1567, 1000], [93, 1384, 638, 1567, 1000]]",
catch_and_shoot,OKC_WSH_1030_1_0001_catch_and_shoot_2619.mp4,WSH_1030_1,0:01,25,未中,Catch-and-shoot,26:19,三分,62,52,337,518,438,705,"[[52, 337, 518, 438, 705], [53, 337, 516, 441, 704], [53, 337, 516, 441, 704], [56, 324, 483, 416, 709], [56, 324, 483, 416, 709], [57, 324, 454, 423, 711], [57, 324, 454, 423, 711], [57, 324, 454, 423, 711], [57, 324, 454, 423, 711], [61, 328, 387, 419, 682], [61, 328, 387, 419, 682], [61, 328, 387, 419, 682], [62, 328, 390, 419, 680], [62, 328, 390, 419, 680], [62, 328, 390, 419, 680], [63, 327, 400, 412, 678], [63, 327, 400, 412, 678], [63, 327, 400, 412, 678], [65, 320, 400, 417, 681], [65, 320, 400, 417, 681], [65, 320, 400, 417, 681], [66, 319, 427, 407, 684], [66, 319, 427, 407, 684], [67, 314, 402, 411, 698], [67, 314, 402, 411, 698], [68, 312, 422, 408, 703], [68, 312, 422, 408, 703], [69, 309, 417, 421, 714], [69, 309, 417, 421, 714], [83, 259, 542, 384, 751], [83, 259, 542, 384, 751], [84, 249, 544, 383, 753], [84, 249, 544, 383, 753], [85, 243, 547, 381, 755], [85, 243, 547, 381, 755], [86, 232, 549, 378, 754], [86, 232, 549, 378, 754], [87, 215, 548, 376, 756], [87, 215, 548, 376, 756], [88, 208, 546, 374, 757], [88, 208, 546, 374, 757], [89, 209, 543, 370, 755], [89, 209, 543, 370, 755], [90, 201, 543, 362, 757], [90, 201, 543, 362, 757]]",yes
catch_and_shoot,OKC_WSH_1030_2_0529_catch_and_shoot_1610.mp4,WSH_1030_2,5:29,25,未中,Catch-and-shoot,16:10,三分,63,53,445,409,548,591,"[[53, 445, 409, 548, 591], [54, 443, 408, 546, 590], [54, 443, 408, 546, 590], [55, 439, 407, 549, 593], [55, 439, 407, 549, 593], [56, 442, 396, 545, 593], [56, 442, 396, 545, 593], [56, 442, 396, 545, 593], [57, 443, 391, 540, 593], [57, 443, 391, 540, 593], [57, 443, 391, 540, 593], [58, 443, 361, 543, 592], [58, 443, 361, 543, 592], [58, 443, 361, 543, 592], [59, 443, 350, 545, 592], [59, 443, 350, 545, 592], [59, 443, 350, 545, 592], [60, 447, 285, 547, 588], [60, 447, 285, 547, 588], [61, 450, 293, 549, 583], [61, 450, 293, 549, 583], [62, 452, 313, 545, 579], [62, 452, 313, 545, 579], [63, 448, 294, 557, 579], [64, 443, 305, 543, 577], [65, 438, 307, 535, 580], [66, 434, 352, 521, 583], [67, 433, 341, 519, 587], [69, 427, 327, 516, 605], [69, 427, 327, 516, 605], [70, 424, 332, 507, 618], [73, 403, 384, 513, 654]]",yes
catch_and_shoot,OKC_WSH_1030_3_0520_catch_and_shoot_1431.mp4,WSH_1030_3,5:20,22,未中,Catch-and-shoot,14:31,,62,52,420,690,556,949,"[[52, 420, 690, 556, 949], [52, 420, 690, 556, 949], [70, 504, 544, 615, 899], [70, 504, 544, 615, 899], [70, 504, 544, 615, 899], [70, 504, 544, 615, 899], [71, 500, 553, 616, 932], [71, 500, 553, 616, 932], [71, 500, 553, 616, 932], [72, 502, 571, 622, 938], [72, 502, 571, 622, 938], [72, 502, 571, 622, 938], [73, 499, 590, 624, 943], [73, 499, 590, 624, 943], [76, 502, 623, 605, 941], [76, 502, 623, 605, 941], [76, 502, 623, 605, 941], [79, 505, 621, 597, 932], [79, 505, 621, 597, 932], [79, 505, 621, 597, 932], [82, 507, 611, 586, 934], [82, 507, 611, 586, 934], [82, 507, 611, 586, 934], [86, 501, 622, 605, 938], [86, 501, 622, 605, 938], [86, 501, 622, 605, 938], [87, 500, 616, 601, 936], [87, 500, 616, 601, 936], [87, 500, 616, 601, 936], [87, 500, 616, 601, 936], [87, 500, 616, 601, 936], [88, 503, 604, 607, 936], [88, 503, 604, 607, 936], [88, 503, 604, 607, 936], [88, 503, 604, 607, 936], [89, 506, 590, 610, 936], [89, 506, 590, 610, 936], [89, 506, 590, 610, 936], [89, 506, 590, 610, 936], [89, 506, 590, 610, 936], [90, 513, 600, 612, 936], [90, 513, 600, 612, 936], [90, 513, 600, 612, 936], [90, 513, 600, 612, 936], [90, 513, 600, 612, 936], [94, 548, 579, 649, 942], [94, 548, 579, 649, 942], [94, 548, 579, 649, 942], [94, 548, 579, 649, 942], [95, 546, 584, 650, 945], [95, 546, 584, 650, 945], [95, 546, 584, 650, 945], [95, 546, 584, 650, 945], [95, 546, 584, 650, 945], [95, 546, 584, 650, 945], [96, 544, 618, 646, 945], [96, 544, 618, 646, 945], [96, 544, 618, 646, 945], [96, 544, 618, 646, 945], [97, 546, 626, 650, 944], [97, 546, 626, 650, 944], [97, 546, 626, 650, 944], [97, 546, 626, 650, 944], [98, 554, 620, 654, 945], [98, 554, 620, 654, 945], [98, 554, 620, 654, 945], [98, 554, 620, 654, 945], [98, 554, 620, 654, 945], [99, 565, 604, 661, 946], [99, 565, 604, 661, 946], [99, 565, 604, 661, 946], [99, 565, 604, 661, 946], [99, 565, 604, 661, 946], [99, 565, 604, 661, 946], [99, 565, 604, 661, 946], [99, 565, 604, 661, 946]]",
catch_and_shoot,OKC_WSH_1030_3_0315_catch_and_shoot_2013.mp4,WSH_1030_3,3:15,22,未中,Catch-and-shoot,20:13,,54,44,1177,422,1271,595,"[[44, 1177, 422, 1271, 595], [44, 1177, 422, 1271, 595], [45, 1170, 415, 1267, 600], [45, 1170, 415, 1267, 600], [45, 1170, 415, 1267, 600], [46, 1171, 418, 1266, 601], [46, 1171, 418, 1266, 601], [46, 1171, 418, 1266, 601], [47, 1170, 409, 1264, 603], [47, 1170, 409, 1264, 603], [47, 1170, 409, 1264, 603], [47, 1170, 409, 1264, 603], [48, 1170, 398, 1262, 602], [48, 1170, 398, 1262, 602], [48, 1170, 398, 1262, 602], [49, 1167, 385, 1259, 602], [49, 1167, 385, 1259, 602], [49, 1167, 385, 1259, 602], [50, 1156, 361, 1254, 600], [50, 1156, 361, 1254, 600], [50, 1156, 361, 1254, 600], [50, 1156, 361, 1254, 600], [51, 1154, 339, 1255, 611], [51, 1154, 339, 1255, 611], [51, 1154, 339, 1255, 611], [66, 1133, 417, 1220, 637], [66, 1133, 417, 1220, 637], [66, 1133, 417, 1220, 637], [67, 1129, 407, 1222, 637], [67, 1129, 407, 1222, 637], [67, 1129, 407, 1222, 637], [68, 1125, 418, 1223, 636], [68, 1125, 418, 1223, 636], [68, 1125, 418, 1223, 636], [68, 1125, 418, 1223, 636], [69, 1108, 398, 1228, 637], [69, 1108, 398, 1228, 637], [69, 1108, 398, 1228, 637], [70, 1108, 400, 1224, 636], [70, 1108, 400, 1224, 636], [70, 1108, 400, 1224, 636], [71, 1107, 393, 1233, 637], [71, 1107, 393, 1233, 637], [71, 1107, 393, 1233, 637], [72, 1109, 406, 1223, 637], [72, 1109, 406, 1223, 637], [72, 1109, 406, 1223, 637], [73, 1105, 414, 1223, 637], [73, 1105, 414, 1223, 637], [73, 1105, 414, 1223, 637], [73, 1105, 414, 1223, 637], [74, 1106, 417, 1221, 636], [74, 1106, 417, 1221, 636], [74, 1106, 417, 1221, 636], [74, 1106, 417, 1221, 636], [78, 1107, 396, 1224, 629], [78, 1107, 396, 1224, 629], [78, 1107, 396, 1224, 629], [79, 1108, 393, 1226, 626], [79, 1108, 393, 1226, 626], [79, 1108, 393, 1226, 626], [79, 1108, 393, 1226, 626], [80, 1107, 393, 1230, 624], [80, 1107, 393, 1230, 624], [80, 1107, 393, 1230, 624], [80, 1107, 393, 1230, 624], [81, 1108, 394, 1232, 623], [81, 1108, 394, 1232, 623], [81, 1108, 394, 1232, 623], [81, 1108, 394, 1232, 623], [82, 1107, 395, 1238, 620], [82, 1107, 395, 1238, 620], [82, 1107, 395, 1238, 620], [82, 1107, 395, 1238, 620], [85, 1115, 391, 1255, 616], [85, 1115, 391, 1255, 616], [85, 1115, 391, 1255, 616], [86, 1116, 392, 1248, 615], [86, 1116, 392, 1248, 615], [86, 1116, 392, 1248, 615], [86, 1116, 392, 1248, 615], [87, 1116, 387, 1261, 616], [87, 1116, 387, 1261, 616], [87, 1116, 387, 1261, 616], [87, 1116, 387, 1261, 616], [88, 1116, 389, 1258, 613], [88, 1116, 389, 1258, 613], [88, 1116, 389, 1258, 613], [88, 1116, 389, 1258, 613], [89, 1122, 388, 1261, 608], [89, 1122, 388, 1261, 608], [89, 1122, 388, 1261, 608], [89, 1122, 388, 1261, 608], [90, 1132, 387, 1239, 604], [90, 1132, 387, 1239, 604], [90, 1132, 387, 1239, 604], [90, 1132, 387, 1239, 604], [91, 1145, 378, 1277, 605], [91, 1145, 378, 1277, 605], [91, 1145, 378, 1277, 605], [91, 1145, 378, 1277, 605]]",
catch_and_shoot,OKC_WSH_1030_3_0047_catch_and_shoot_2455.mp4,WSH_1030_3,0:47,24,命中,Catch-and-shoot,24:55,I.Joe助攻，三分,52,42,461,686,603,943,"[[42, 461, 686, 603, 943], [42, 461, 686, 603, 943], [48, 481, 599, 610, 925], [48, 481, 599, 610, 925], [48, 481, 599, 610, 925], [48, 481, 599, 610, 925], [49, 484, 579, 607, 918], [49, 484, 579, 607, 918], [49, 484, 579, 607, 918], [50, 488, 536, 620, 914], [50, 488, 536, 620, 914], [55, 504, 530, 612, 897], [55, 504, 530, 612, 897], [55, 504, 530, 612, 897], [56, 506, 560, 607, 906], [56, 506, 560, 607, 906], [57, 507, 541, 608, 911], [57, 507, 541, 608, 911], [57, 507, 541, 608, 911], [58, 510, 601, 597, 915], [58, 510, 601, 597, 915], [58, 510, 601, 597, 915], [59, 512, 620, 591, 920], [59, 512, 620, 591, 920], [59, 512, 620, 591, 920], [60, 515, 638, 589, 922], [60, 515, 638, 589, 922], [60, 515, 638, 589, 922], [60, 515, 638, 589, 922], [61, 513, 648, 608, 928], [61, 513, 648, 608, 928], [61, 513, 648, 608, 928], [62, 509, 650, 597, 928], [62, 509, 650, 597, 928], [62, 509, 650, 597, 928], [62, 509, 650, 597, 928], [63, 513, 651, 608, 928], [63, 513, 651, 608, 928], [63, 513, 651, 608, 928], [63, 513, 651, 608, 928], [67, 506, 650, 601, 923], [67, 506, 650, 601, 923], [67, 506, 650, 601, 923], [72, 494, 644, 588, 924], [72, 494, 644, 588, 924], [73, 505, 649, 573, 924], [73, 505, 649, 573, 924], [73, 505, 649, 573, 924], [77, 503, 640, 570, 930], [77, 503, 640, 570, 930], [77, 503, 640, 570, 930], [77, 503, 640, 570, 930], [77, 503, 640, 570, 930], [80, 494, 634, 571, 929], [80, 494, 634, 571, 929], [80, 494, 634, 571, 929]]",
catch_and_shoot,OKC_WSH_1030_4_0829_catch_and_shoot_0933.mp4,WSH_1030_4,8:29,26,未中,Catch-and-shoot,09:33,三分,59,49,946,724,1049,962,"[[49, 946, 724, 1049, 962], [49, 946, 724, 1049, 962], [49, 946, 724, 1049, 962], [53, 947, 689, 1068, 974], [53, 947, 689, 1068, 974], [53, 947, 689, 1068, 974], [53, 947, 689, 1068, 974], [57, 961, 651, 1076, 944], [57, 961, 651, 1076, 944], [57, 961, 651, 1076, 944], [57, 961, 651, 1076, 944], [61, 979, 581, 1076, 931], [61, 979, 581, 1076, 931], [61, 979, 581, 1076, 931], [61, 979, 581, 1076, 931], [65, 1000, 599, 1096, 945], [65, 1000, 599, 1096, 945], [65, 1000, 599, 1096, 945], [67, 1002, 634, 1105, 977], [67, 1002, 634, 1105, 977], [67, 1002, 634, 1105, 977], [67, 1002, 634, 1105, 977], [67, 1002, 634, 1105, 977], [70, 1007, 665, 1137, 980], [70, 1007, 665, 1137, 980], [70, 1007, 665, 1137, 980], [71, 1016, 665, 1144, 977], [71, 1016, 665, 1144, 977], [71, 1016, 665, 1144, 977], [71, 1016, 665, 1144, 977], [91, 1298, 761, 1431, 979], [91, 1298, 761, 1431, 979], [91, 1298, 761, 1431, 979], [92, 1311, 773, 1446, 1002], [92, 1311, 773, 1446, 1002], [92, 1311, 773, 1446, 1002], [92, 1311, 773, 1446, 1002], [94, 1346, 802, 1485, 978], [94, 1346, 802, 1485, 978], [94, 1346, 802, 1485, 978]]",
